"","Control1","Control2","Control3","Control4","Control5","Control6","Treatment1","Treatment2","Treatment3","Treatment4","Treatment5","Treatment6"
"ENSG00000227232.5",2.20893264584366,2.00854437475955,1.88498246863962,1.62139736607771,1.74762315101452,2.01468304422633,2.25357448522912,2.49829604853783,2.60549926201199,1.50800252572796,2.80323862701869,1.80894693234101
"ENSG00000279457.4",2.55603131646593,2.31123014192749,2.25186392976381,1.64595447032169,1.93227946177832,1.92572161029851,2.57472041959807,2.66522568622099,2.80862260151093,2.00087073646714,2.55434538956763,1.95936377489411
"ENSG00000228463.10",-0.849961043209911,-0.942242650761775,-0.446693602799305,0.498678207824573,-0.146289590595788,0.575479233816731,-1.1446195038863,-1.96498789559507,-1.12008610430328,0.195833397302931,-1.42018392291625,0.43043530908728
"ENSG00000237094.12",-0.727104295424377,-0.109970096499842,0.0105133507234789,-1.85047135579781,-1.96445126760998,-2.31204603692486,0.0298782273458316,-0.923167719900444,-0.468009407723582,-1.63604384388874,-1.1098438023041,-1.89149278580008
"ENSG00000230021.10",0.452601726810521,0.207999984818837,-0.220812195382977,-1.19839465921812,-0.854826776435477,-0.546511290561879,0.520513345518834,-0.271091023320751,0.716415163413845,-0.788046937333792,-1.67172268991221,-0.926258203960758
"ENSG00000225972.1",0.691608861997865,0.270060952951089,0.270576190025982,0.265005861622123,-0.103854324275392,0.00988205796250583,1.68609941123681,-0.121713399282524,1.63937412765002,0.0951393976834574,-0.637775357988875,0.345546411500767
"ENSG00000225630.1",2.26921065776777,1.99941336300742,2.1423385622309,1.84996836234328,2.06839198907704,1.18194280374881,2.07924430466681,1.27846614126921,2.80862260151093,2.00087073646714,1.19334773000168,2.28224382959225
"ENSG00000237973.1",5.33281952222768,5.40021149550301,5.65899299706994,3.83536202915808,4.02960436864077,3.81310909439743,5.78510387436984,5.2575939428021,6.49146570489702,4.05213651469818,2.86965054226126,4.30584093793594
"ENSG00000229344.1",3.31818175289039,3.39194886379142,3.91502718295936,2.96909951596943,2.71539918102878,2.44284146523861,4.2089054358954,2.79617220358393,4.81604701342831,2.78349504762504,1.09583122408742,2.96648820932749
"ENSG00000248527.1",8.17148166876672,8.20793805461596,8.17690893486739,7.72055890174039,7.85581168718092,7.41689483147852,7.95454041890304,7.33435482192315,8.26479013315824,7.76611552301788,6.50462858068953,7.93724819011853
"ENSG00000198744.5",2.1217102337316,2.04450125253596,2.24431053533218,1.50540407101289,1.97249656185472,1.32795782735426,2.18962185243991,0.486708074262621,2.76465134906669,2.2159549932237,-0.181397063329132,2.22794244518854
"ENSG00000228327.3",2.03756422753168,1.99022419155276,1.60730128684142,0.745895908195592,0.607800181361627,1.18194280374881,2.11411476451386,1.59860095433352,1.98425055551146,0.83904103906004,0.535872729496155,0.973577634113809
"ENSG00000237491.10",1.92964888836479,1.694558781479,1.67628789703273,0.200154717272155,-0.379488766888819,0.288858007665321,1.78679341085628,1.59860095433352,1.60237992016782,0.46156695273768,-0.449330268575765,-0.353072871015956
"ENSG00000228794.10",3.94243161029009,4.64051894176611,4.29910888797604,4.65430034973618,4.69826394941607,4.4631801324167,4.12163161463103,4.48573819520701,4.3346538190093,4.64713713505683,4.22943153614716,4.72671789730764
"ENSG00000225880.5",0.372431378126537,0.976329749894378,0.65934803461102,-0.360145729214732,-0.0225542221735433,-0.110412175755206,1.14394999405463,2.60218529168256,1.20184199058409,0.590464685919938,2.34110135044537,0.855741143819951
"ENSG00000230699.2",0.101129356309143,-0.277426842351405,0.209822158946886,-0.628078934461366,0.357476827277387,2.66675974080602,-0.916350516213188,-0.923167719900444,-0.891817116630158,1.37115165751546,-2.36360039454988,1.75510878071346
